annotation_id;annotator;created_at;date;emo_eval;fake_claim;id;io_type;label;lead_time;source;text;updated_at
9;1;15.10.2025 11:27;10.10.2025 23:19;Негативная;ИСТИНА;9;THREAT;"[{""start"":23,""end"":37,""text"":""районе Дерне"",""labels"":[""GEO_LOC""]},{""start"":39,""end"":49,""text"":""Антверпен"",""labels"":[""GEO_LOC""]},{""start"":106,""end"":139,""text"":""самодельное взрывное устройство"",""labels"":[""MIL_TERM""]},{""start"":164,""end"":182,""text"":""атаки с использованием дрона"",""labels"":[""MIL_TERM""]}]";;ukrdefence;Во время обысков в районе Дерне (Антверпен), неподалеку от частного дома главы правительства, были найдены предполагаемое самодельное взрывное устройство и свидетельства подготовки атаки с использованием дрона.;15.10.2025 11:27
;;;;;;;;;;;;
10;1;15.10.2025 11:27;10.10.2025 22:37;Нейтральная;ЛОЖЬ;10;DISCREDITATION;"[{""start"":0,""end"":9,""text"":""Зеленский"",""labels"":[""SOURCE""]},{""start"":23,""end"":29,""text"":""Трампом"",""labels"":[""SOURCE""]},{""start"":42,""end"":50,""text"":""Tоmahawk"",""labels"":[""MIL_TERM""]},{""start"":60,""end"":66,""text"":""HIMARS"",""labels"":[""MIL_TERM""]},{""start"":71,""end"":77,""text"":""ATACMS"",""labels"":[""MIL_TERM""]},{""start"":278,""end"":292,""text"":""ПВО России"",""labels"":[""MIL_TERM""]}]";;BBC News | Русская служба;Зеленский обсуждал с Трампом передачe не только Tоmahawk, но и HIMARS, и ATACMS Мы разговаривали с президентом Трампом во время нашей встречи в Нью-Йорке не только о Томагавках . Мы говорили о HIMARS, и я упомянул об ATACMS. Комментируя в пятницу эти слова Трампа на пресс-конференции в Душанбе, президент России Владимир Путин заявил, что Россия ответит на это укреплением системы ПВО России.;15.10.2025 11:27
;;;;;;;;;;;;
11;1;15.10.2025 11:27;10.10.2025 20:30;Нейтральная;ЛОЖЬ;11;DISCREDITATION;"[{""start"":53,""end"":73,""text"":""передаче ракет Томагавк"",""labels"":[""MIL_TERM""]},{""start"":74,""end"":82,""text"":""Украине"",""labels"":[""GEO_LOC""]}]";;BBC News | Русская служба;Может ли это отразиться на ходе конфликта и будет ли теперь наконец принято решение о передаче ракет Томагавк Украине?;15.10.2025 11:27
;;;;;;;;;;;;
12;1;15.10.2025 11:27;10.10.2025 17:58;Нейтральная;ЛОЖЬ;12;DISCREDITATION;"[{""start"":14,""end"":19,""text"":""Трамп"",""labels"":[""SOURCE""]},{""start"":42,""end"":49,""text"":""Украины"",""labels"":[""GEO_LOC""]},{""start"":68,""end"":76,""text"":""Tomahawk"",""labels"":[""MIL_TERM""]},{""start"":115,""end"":120,""text"":""Путин"",""labels"":[""SOURCE""]},{""start"":152,""end"":160,""text"":""Tomahawk"",""labels"":[""MIL_TERM""]}]";;BBC News | Русская служба;На этой неделе Трамп прокомментировал запрос Украины на поставку дальнобойных ракет Tomahawk. Наш ответ это усиление ПВО , заявил сейчас Путин, отвечая на вопрос о ракетах Tomahawk.;15.10.2025 11:27
;;;;;;;;;;;;
13;1;15.10.2025 11:27;10.10.2025 17:20;Негативная;ЛОЖЬ;13;THREAT;"[{""start"":48,""end"":63,""text"":""центре Кабула"",""labels"":[""GEO_LOC""]},{""start"":77,""end"":93,""text"":""два сильных взрыва"",""labels"":[""EVENT""]},{""start"":110,""end"":113,""text"":""AFP"",""labels"":[""SOURCE""]},{""start"":131,""end"":140,""text"":""Талибана"",""labels"":[""TARGET_ENTITY""]}]";;Sladkov_plus;Ситуация обострилась на следующий день после того, как в центре Кабула произошли два сильных взрыва, сообщало ранее AFP. Представитель Талибана подтвердил факт взрывов, но не дал пояснений о том, что стало их причиной.;15.10.2025 11:27
;;;;;;;;;;;;
14;1;15.10.2025 11:27;10.10.2025 15:19;Негативная;ИСТИНА;14;PROPAGANDA;"[{""start"":0,""end"":18,""text"":""Минобороны России"",""labels"":[""SOURCE""]},{""start"":41,""end"":63,""text"":""украинской энергетике"",""labels"":[""TARGET_ENTITY""]},{""start"":85,""end"":109,""text"":""Вооруженными силами России"",""labels"":[""SOURCE""]},{""start"":165,""end"":174,""text"":""Кинжалами"",""labels"":[""MIL_TERM""]},{""start"":191,""end"":210,""text"":""ударными беспилотниками"",""labels"":[""MIL_TERM""]},{""start"":245,""end"":252,""text"":""ВПК"",""labels"":[""TARGET_ENTITY""]},{""start"":253,""end"":261,""text"":""Украины"",""labels"":[""GEO_LOC""]}]";;milinfolive;Минобороны России заявило о массированном ударе по украинской энергетике Вооруженными силами России нанесен массированный удар ракетами, в том числе гиперзвуковыми Кинжалами , а также ударными беспилотниками по объектам энергетической инфраструктуры, обеспечивавшим работу предприятий ВПК Украины , говорится в заявлении российского Минобороны.;15.10.2025 11:27
;;;;;;;;;;;;
15;1;15.10.2025 11:27;10.10.2025 11:59;Негативная;ЛОЖЬ;15;INTIMIDATION;"[{""start"":0,""end"":9,""text"":""Зеленский"",""labels"":[""SOURCE""]},{""start"":11,""end"":17,""text"":""Россия"",""labels"":[""TARGET_ENTITY""]},{""start"":48,""end"":69,""text"":""украинской энергетике"",""labels"":[""TARGET_ENTITY""]},{""start"":125,""end"":135,""text"":""Запорожье"",""labels"":[""GEO_LOC""]},{""start"":161,""end"":164,""text"":""США"",""labels"":[""GEO_LOC""]},{""start"":166,""end"":168,""text"":""ЕС"",""labels"":[""GEO_LOC""]}]";;BBC News | Русская служба;Зеленский: Россия снова наносит удары по украинской энергетике По словам Зеленского, сейчас известно о более чем 20 пострадавших и одном погибшем ребенке в Запорожье. По словам Зеленского, от США, ЕС и Большой семерки нужны решительные действия поставки систем ПВО Украине и ужесточение санкций против России.;15.10.2025 11:27
;;;;;;;;;;;;
16;1;15.10.2025 11:27;10.10.2025 10:11;Негативная;ИСТИНА;16;INFRASTRUCTURE_ATTACK;"[{""start"":30,""end"":45,""text"":""Виталия Кличко"",""labels"":[""SOURCE""]},{""start"":19,""end"":28,""text"":""украинской"",""labels"":[""GEO_LOC""]}]";;BBC News | Русская служба;По словам мэра украинской столицы Виталия Кличко, в результате ударов по критической инфраструктуре левый берег города остался без энергоснабжения.;15.10.2025 11:27
;;;;;;;;;;;;
17;1;15.10.2025 11:27;10.10.2025 02:35;Негативная;ЛОЖЬ;17;INFRASTRUCTURE_ATTACK;"[{""start"":146,""end"":165,""text"":""Российское Минобороны"",""labels"":[""SOURCE""]},{""start"":49,""end"":61,""text"":""трубопровода"",""labels"":[""TARGET_ENTITY""]}]";;BBC News | Русская служба;В посте упоминаются лишь некоторые обстоятельства повреждения трубопровода: Осмотреть место обстрела невозможно, поскольку это временно оккупированная территория . Российское Минобороны называло точное время подрыва: 10:05 по Гринвичу в четверг.;15.10.2025 11:27
;;;;;;;;;;;;
18;1;15.10.2025 11:27;09.10.2025 22:25;Нейтральная;ИСТИНА;18;INFORMATIONAL;"[{""start"":4,""end"":9,""text"":""Путин"",""labels"":[""SOURCE""]},{""start"":26,""end"":29,""text"":""ПВО"",""labels"":[""MIL_TERM""]}]";;TopWar;Что Путин рассказал о ракетах ПВО и что не так в его объяснениях, читайте в нашем материале.;15.10.2025 11:27
;;;;;;;;;;;;
19;1;15.10.2025 11:27;09.10.2025 22:05;Негативная;ИСТИНА;19;CIVILIAN_HARM;"[{""start"":0,""end"":10,""text"":""Губернатор"",""labels"":[""SOURCE""]},{""start"":14,""end"":36,""text"":""Белгородской области"",""labels"":[""GEO_LOC""]},{""start"":154,""end"":170,""text"":""Вячеслав Гладков"",""labels"":[""SOURCE""]},{""start"":211,""end"":230,""text"":""Новая Таволжанка"",""labels"":[""GEO_LOC""]},{""start"":69,""end"":74,""text"":""дрона"",""labels"":[""MIL_TERM""]}]";;TopWar;Губернатор: в Белгородской области от атаки дрона пострадала восьмилетняя девочка Губернатор граничащей с Украиной Белгородской области Вячеслав Гладков написал в соцсетях, что в селе Новая Таволжанка от удара дрона по частному дому восьмилетняя девочка получила минно-взрывную травму, открытую черепно-мозговую травму и осколочные ранения головы.;15.10.2025 11:27
;;;;;;;;;;;;
20;1;15.10.2025 11:27;09.10.2025 21:54;Негативная;ЛОЖЬ;20;INFRASTRUCTURE_ATTACK;"[{""start"":0,""end"":6,""text"":""Россия"",""labels"":[""TARGET_ENTITY""]},{""start"":26,""end"":34,""text"":""энергетике"",""labels"":[""TARGET_ENTITY""]},{""start"":35,""end"":43,""text"":""Украины"",""labels"":[""GEO_LOC""]},{""start"":82,""end"":104,""text"":""газовая инфраструктура"",""labels"":[""TARGET_ENTITY""]}]";;BBC News | Русская служба;Россия усилила удары по энергетике Украины, и на этот раз главной целью стала газовая инфраструктура.;15.10.2025 11:27
;;;;;;;;;;;;
21;1;15.10.2025 11:27;09.10.2025 19:52;Нейтральная;ЛОЖЬ;21;ACCIDENT_ANALYSIS;"[{""start"":0,""end"":7,""text"":""Ракеты"",""labels"":[""MIL_TERM""]},{""start"":24,""end"":28,""text"":""AZAL"",""labels"":[""TARGET_ENTITY""]},{""start"":66,""end"":87,""text"":""Военный обозреватель"",""labels"":[""SOURCE""]},{""start"":88,""end"":101,""text"":""Би-би-си"",""labels"":[""ORG""]},{""start"":102,""end"":115,""text"":""Павел Аксенов"",""labels"":[""SOURCE""]},{""start"":138,""end"":144,""text"":""Путина"",""labels"":[""SOURCE""]},{""start"":155,""end"":158,""text"":""ПВО"",""labels"":[""MIL_TERM""]},{""start"":241,""end"":268,""text"":""Азербайджанских авиалиний"",""labels"":[""ORG""]}]";;BBC News | Русская служба;Ракеты, поразившие рейс AZAL, и должны взрываться на расстоянии. Военный обозреватель Би-би-си Павел Аксенов анализирует слова Путина о том, что ПВО не поразили напрямую самолет Версия поражения самолета Азербайджанских авиалиний , высказанная президентом России, во многом совпадает с теми предположениями, которые высказывали эксперты, комментировавшие катастрофу. По словам Владимира Путина, системы ПВО якобы следили за украинскими беспилотниками, и задели самолет то есть навелись на него.;15.10.2025 11:27
;;;;;;;;;;;;
22;1;15.10.2025 11:27;09.10.2025 16:48;Негативная;ЛОЖЬ;22;ACCIDENT_REPORT;"[{""start"":0,""end"":5,""text"":""Путин"",""labels"":[""SOURCE""]},{""start"":35,""end"":39,""text"":""AZAL"",""labels"":[""TARGET_ENTITY""]},{""start"":54,""end"":60,""text"":""ракеты"",""labels"":[""MIL_TERM""]},{""start"":61,""end"":78,""text"":""российской ПВО"",""labels"":[""MIL_TERM""]},{""start"":97,""end"":117,""text"":""Ильхаму Алиеву"",""labels"":[""SOURCE""]},{""start"":164,""end"":186,""text"":""азербайджанской авиакомпании"",""labels"":[""ORG""]},{""start"":187,""end"":191,""text"":""AZAL"",""labels"":[""TARGET_ENTITY""]},{""start"":212,""end"":218,""text"":""Грозный"",""labels"":[""GEO_LOC""]},{""start"":258,""end"":268,""text"":""Казахстане"",""labels"":[""GEO_LOC""]},{""start"":397,""end"":401,""text"":""ТАСС"",""labels"":[""ORG""]}]";;TopWar;Путин заявил, что рядом с самолетом AZAL взорвались две ракеты российской ПВО Владимир Путин предложил ( президенту Азербайджана Ильхаму Алиеву начать встречу с обсуждения ситуации с крушением самолета азербайджанской авиакомпании AZAL, который следовал в Грозный, получил повреждения при работе ПВО и разбился в Казахстане. Российский президент впервые подтвердил, что азербайджанский самолет разбился в Казахстане после работы ПВО в России. Однако он утверждает, что две ракеты, которые были выпущены российской противоракетной системой, не поразили самолет AZAL напрямую, а взорвались в нескольких метрах, передает его слова ТАСС.;15.10.2025 11:27
;;;;;;;;;;;;
23;1;15.10.2025 11:27;09.10.2025 13:26;Негативная;ЛОЖЬ;23;ACCIDENT_REPORT;"[{""start"":0,""end"":9,""text"":""Российские"",""labels"":[""SOURCE""]},{""start"":17,""end"":24,""text"":""Украину"",""labels"":[""TARGET_ENTITY""]},{""start"":59,""end"":68,""text"":""Bloomberg"",""labels"":[""ORG""]},{""start"":90,""end"":97,""text"":""Украина"",""labels"":[""TARGET_ENTITY""]},{""start"":144,""end"":154,""text"":""обстрел"",""labels"":[""MIL_TERM""]},{""start"":155,""end"":174,""text"":""Харьковской"",""labels"":[""GEO_LOC""]},{""start"":178,""end"":186,""text"":""Полтавской"",""labels"":[""GEO_LOC""]},{""start"":283,""end"":292,""text"":""Bloomberg"",""labels"":[""ORG""]}]";;milinfolive;Российские удары за последнюю неделю лишили Украину 60 добычи природного газа Bloomberg На этой неделе Украина сообщила своим союзникам, что массированный российский обстрел Харьковской и Полтавской областей 3 октября привел к потере примерно 60 добычи газа в стране, сообщают источники Bloomberg, знакомые с ситуацией.;15.10.2025 11:27
;;;;;;;;;;;;
24;1;15.10.2025 11:27;08.10.2025 19:25;Негативная;ЛОЖЬ;24;ECONOMIC_REPORT;"[{""start"":41,""end"":47,""text"":""России"",""labels"":[""TARGET_ENTITY""]},{""start"":73,""end"":80,""text"":""санкций"",""labels"":[""POL_TERM""]},{""start"":113,""end"":122,""text"":""военных"",""labels"":[""MIL_TERM""]},{""start"":147,""end"":156,""text"":""украинских"",""labels"":[""SOURCE""]},{""start"":174,""end"":197,""text"":""нефтяной инфраструктуре"",""labels"":[""ECON_TERM""]}]";;BBC News | Русская служба;И, наконец, в-четвертых, внутренняя ситуация в России начала ухудшаться на фоне санкций, огромных военных расходов и последствий украинских ударов по нефтяной инфраструктуре страны.;15.10.2025 11:27
;;;;;;;;;;;;
25;1;15.10.2025 11:27;08.10.2025 18:14;Нейтральная;ЛОЖЬ;25;SOCIAL_REPORT;"[{""start"":4,""end"":17,""text"":""родственники"",""labels"":[""SOURCE""]},{""start"":82,""end"":91,""text"":""миллионов"",""labels"":[""ECON_TERM""]},{""start"":110,""end"":130,""text"":""военной операции"",""labels"":[""MIL_TERM""]},{""start"":136,""end"":144,""text"":""издание"",""labels"":[""ORG""]}]";;РИА Новости;Его родственники продали свое имущество и перечислили несколько миллионов рублей на поддержку специальной военной операции , отмечает издание.;15.10.2025 11:27
;;;;;;;;;;;;
26;1;15.10.2025 11:27;08.10.2025 17:15;Нейтральная;ЛОЖЬ;26;POLICY_REPORT;"[{""start"":2,""end"":11,""text"":""Германии"",""labels"":[""GEO_LOC""]},{""start"":12,""end"":20,""text"":""полиции"",""labels"":[""ORG""]},{""start"":70,""end"":92,""text"":""Немецкое правительство"",""labels"":[""ORG""]},{""start"":104,""end"":116,""text"":""законопроект"",""labels"":[""POL_TERM""]},{""start"":208,""end"":224,""text"":""Reuters"",""labels"":[""ORG""]},{""start"":280,""end"":292,""text"":""Мюнхена"",""labels"":[""GEO_LOC""]}]";;BBC News | Русская служба;В Германии полиции хотят разрешить сбивать дроны Немецкое правительство одобрило законопроект, позволяющий полицейским сбивать и глушить беспилотники, нарушающие воздушное пространство Германии, сообщает Reuters. Законопроект появился спустя неделю после того, как 3 октября аэропорт Мюнхена был временно закрыт из-за появления в небе неопознанных дронов, десятки рейсов были отменены.;15.10.2025 11:27
;;;;;;;;;;;;
27;1;15.10.2025 11:27;07.10.2025 21:45;Негативная;ЛОЖЬ;27;MILITARY_REPORT;"[{""start"":24,""end"":30,""text"":""Россией"",""labels"":[""SOURCE""]},{""start"":34,""end"":42,""text"":""Украиной"",""labels"":[""TARGET_ENTITY""]},{""start"":92,""end"":105,""text"":""Дональд Трамп"",""labels"":[""SOURCE""]},{""start"":134,""end"":138,""text"":""Киев"",""labels"":[""GEO_LOC""]},{""start"":142,""end"":147,""text"":""Москву"",""labels"":[""GEO_LOC""]},{""start"":167,""end"":170,""text"":""ВСУ"",""labels"":[""ORG""]},{""start"":172,""end"":201,""text"":""американских крылатых ракет Томагавк"",""labels"":[""MIL_TERM""]}]";;TopWar;На второй войне, между Россией и Украиной, никаких мирных переговоров не намечается, а Дональд Трамп, безуспешно пытавшийся помирить Киев и Москву, говорит о поставках ВСУ американских крылатых ракет Томагавк .;15.10.2025 11:27
;;;;;;;;;;;;
28;1;15.10.2025 11:27;07.10.2025 20:00;Негативная;ЛОЖЬ;28;ATTACK_REPORT;"[{""start"":16,""end"":21,""text"":""ХАМАС"",""labels"":[""ORG""]},{""start"":30,""end"":47,""text"":""ракетный обстрел"",""labels"":[""MIL_TERM""]}]";;BBC News | Русская служба;Рано утром боевики ХАМАС начали ракетный обстрел, а затем ворвались на место проведения фестиваля.;15.10.2025 11:27
;;;;;;;;;;;;
29;1;15.10.2025 11:27;07.10.2025 16:32;Негативная;ЛОЖЬ;29;ATTACK_REPORT;"[{""start"":0,""end"":12,""text"":""Росэнергоатом"",""labels"":[""ORG""]},{""start"":16,""end"":21,""text"":""дрон"",""labels"":[""MIL_TERM""]},{""start"":42,""end"":69,""text"":""действующего энергоблока Нововоронежской АЭС"",""labels"":[""TARGET_ENTITY""]},{""start"":193,""end"":196,""text"":""ВСУ"",""labels"":[""ORG""]},{""start"":268,""end"":280,""text"":""Курской и Смоленской АЭС"",""labels"":[""TARGET_ENTITY""]}]";;РИА Новости;Росэнергоатом : украинский дрон атаковал градирню действующего энергоблока Нововоронежской АЭС Как можно понять из сообщения госкорпорации, врезавшийся в башню градирни дрон взорвался, на градирне от последствий детонации остался темный след . Ранее ВСУ предпринимало попытки ударов по основным сооружениям Курской и Смоленской АЭС , напомнил Росэнергоатом .;15.10.2025 11:27
;;;;;;;;;;;;
30;1;15.10.2025 11:27;07.10.2025 15:19;Негативная;ЛОЖЬ;30;MILITARY_REPORT;"[{""start"":76,""end"":84,""text"":""Tomahawk"",""labels"":[""MIL_TERM""]},{""start"":85,""end"":92,""text"":""Украине"",""labels"":[""TARGET_ENTITY""]},{""start"":94,""end"":99,""text"":""Трамп"",""labels"":[""SOURCE""]},{""start"":164,""end"":170,""text"":""Путин"",""labels"":[""SOURCE""]},{""start"":200,""end"":208,""text"":""Tomahawk"",""labels"":[""MIL_TERM""]},{""start"":251,""end"":254,""text"":""США"",""labels"":[""GEO_LOC""]}]";;BBC News | Русская служба;Отвечая на вопрос журналистов, принял ли он решение о поставках ракет Tomahawk Украине, Трамп не исключил этого и заявил, что вроде как принял решение по этому вопросу. Российский президент Владимир Путин в воскресенье заявил, что возможные поставки ракет Tomahawk приведут к разрушению отношений с США во всяком случае, наметившейся позитивной тенденции в этих отношениях .;15.10.2025 11:27
;;;;;;;;;;;;
31;1;15.10.2025 11:27;07.10.2025 14:57;Негативная;ЛОЖЬ;31;INCITEMENT_REPORT;"[{""start"":171,""end"":188,""text"":""украинских террористических организаций"",""labels"":[""ORG""]},{""start"":202,""end"":204,""text"":""РФ"",""labels"":[""GEO_LOC""]},{""start"":224,""end"":244,""text"":""подрыва Крымского моста"",""labels"":[""MIL_TERM""]}]";;TopWar;По версии следствия, находясь в медчасти при исправительной колонии 6 в Красноярске, в беседе с другими осужденными он осуществил высказывания, направленные на оправдание нападения украинских террористических организаций на территорию РФ, в том числе подрыва Крымского моста .;15.10.2025 11:27
;;;;;;;;;;;;
32;1;15.10.2025 11:27;07.10.2025 13:36;Негативная;ЛОЖЬ;32;INCITEMENT_REPORT;"[{""start"":106,""end"":125,""text"":""украинских беспилотников"",""labels"":[""MIL_TERM""]},{""start"":129,""end"":145,""text"":""российским городам"",""labels"":[""TARGET_ENTITY""]}]";;BBC News | Русская служба;В декабре 2024 года суд заочно назначил ей шесть с половиной лет колонии за реплику Это ужасно, но я радуюсь при обсуждении ударов украинских беспилотников по российским городам.;15.10.2025 11:27
;;;;;;;;;;;;
33;1;15.10.2025 11:27;07.10.2025 11:29;Негативная;ЛОЖЬ;33;ATTACK_REPORT;"[{""start"":51,""end"":60,""text"":""Дзержинск"",""labels"":[""GEO_LOC""]},{""start"":91,""end"":94,""text"":""ПВО"",""labels"":[""MIL_TERM""]},{""start"":108,""end"":112,""text"":""БПЛА"",""labels"":[""MIL_TERM""]},{""start"":136,""end"":157,""text"":""украинских дронов"",""labels"":[""MIL_TERM""]}]";;BBC News | Русская служба;Нижегородский губернатор подтвердил вторую за две ночи атаку на Дзержинск Сегодня ночью в районе промзоны Дзержинска силами ПВО уничтожено 30 БПЛА. Ранее о новом налете украинских дронов сообщали СМИ со ссылкой на очевидцев. Как и накануне, губернатор не назвал предприятие, которое атаковали дроны.;15.10.2025 11:27
;;;;;;;;;;;;
